date,q1,q2,q3
2022-01-14 17:06:06.237078905,2022-01-15 05:29:38.000000000,2022-01-16 13:47:25.000000000,2022-01-18 10:29:06.000000000
2022-01-14 19:03:15.198232889,2022-01-16 11:11:23.000000000,2022-01-18 19:43:06.000000000,2022-01-22 10:29:13.000000000
2022-01-14 20:54:05.420573950,2022-01-16 02:24:00.000000000,2022-01-18 15:04:53.000000000,2022-01-22 16:27:15.000000000
2022-01-15 01:26:58.977973938,2022-01-15 17:23:18.000000000,2022-01-18 06:56:13.000000000,2022-01-22 10:38:53.000000000
2022-01-15 04:45:51.441214085,2022-01-15 17:25:43.000000000,2022-01-18 07:02:15.000000000,2022-01-22 10:48:34.000000000
2022-01-15 07:38:05.042032003,2022-01-15 07:47:32.000000000,2022-01-17 19:15:51.000000000,2022-01-21 23:44:30.000000000
2022-01-15 13:15:22.663029909,2022-01-15 08:27:27.000000000,2022-01-17 19:30:22.000000000,2022-01-21 18:10:39.000000000
2022-01-15 17:04:13.729244947,2022-01-14 16:19:46.000000000,2022-01-16 00:42:23.000000000,2022-01-18 17:51:49.000000000
2022-01-16 01:06:41.931798935,2022-01-14 14:49:03.000000000,2022-01-16 04:37:03.000000000,2022-01-19 00:22:31.000000000
2022-01-16 01:06:42.557054043,2022-01-14 14:49:03.000000000,2022-01-16 04:37:03.000000000,2022-01-19 00:22:31.000000000
2022-01-16 07:39:22.212096930,2022-01-14 14:49:03.000000000,2022-01-16 04:34:38.000000000,2022-01-19 00:21:18.000000000
2022-01-16 09:24:51.096815109,2022-01-14 16:35:30.000000000,2022-01-16 17:09:25.000000000,2022-01-20 06:34:30.000000000
2022-01-16 18:22:22.534432888,2022-01-14 15:54:22.000000000,2022-01-16 14:49:06.000000000,2022-01-20 04:27:29.000000000
2022-01-17 01:05:03.300978899,2022-01-14 09:21:15.000000000,2022-01-15 07:16:05.000000000,2022-01-21 09:48:40.000000000
2022-01-17 03:27:03.213820934,2022-01-14 09:40:36.000000000,2022-01-15 11:10:45.000000000,2022-01-21 14:13:34.000000000
2022-01-17 07:36:02.815402985,2022-01-14 09:40:36.000000000,2022-01-15 11:10:45.000000000,2022-01-21 14:13:34.000000000
2022-01-17 09:05:50.145239115,2022-01-14 10:24:09.000000000,2022-01-15 17:35:24.000000000,2022-01-20 06:44:10.000000000
2022-01-17 14:28:32.737663984,2022-01-14 10:02:22.000000000,2022-01-15 15:15:05.000000000,2022-01-20 17:51:52.000000000
2022-01-17 16:09:18.708694935,2022-01-14 09:43:01.000000000,2022-01-15 11:43:24.000000000,2022-01-20 21:11:27.000000000
2022-01-17 18:25:44.326066971,2022-01-14 09:10:22.000000000,2022-01-15 04:52:08.000000000,2022-01-19 18:34:47.000000000
2022-01-17 19:50:26.340707064,2022-01-14 09:07:56.000000000,2022-01-15 04:38:50.000000000,2022-01-19 18:19:03.000000000
2022-01-17 22:27:51.101020098,2022-01-14 09:05:31.000000000,2022-01-15 04:17:04.000000000,2022-01-19 16:18:06.000000000
2022-01-18 01:11:07.511255980,2022-01-14 08:09:53.000000000,2022-01-14 21:53:37.000000000,2022-01-18 02:59:08.000000000
2022-01-18 03:48:57.345710993,2022-01-14 07:46:54.000000000,2022-01-14 20:04:45.000000000,2022-01-18 14:49:10.000000000
2022-01-18 07:38:04.927001953,2022-01-14 07:46:54.000000000,2022-01-14 20:05:58.000000000,2022-01-18 14:51:35.000000000
2022-01-18 14:31:03.880525112,2022-01-14 07:45:41.000000000,2022-01-14 20:01:07.000000000,2022-01-18 18:19:38.000000000
2022-01-18 16:17:32.094041109,2022-01-14 07:20:17.000000000,2022-01-14 18:55:48.000000000,2022-01-18 09:17:44.000000000
2022-01-18 17:24:02.505250930,2022-01-14 06:00:27.000000000,2022-01-14 14:17:36.000000000,2022-01-15 19:24:16.000000000
2022-01-19 01:09:50.458297968,2022-01-14 05:35:03.000000000,2022-01-14 12:26:19.000000000,2022-01-15 06:48:16.000000000
2022-01-19 07:33:25.111504078,2022-01-14 05:36:16.000000000,2022-01-14 12:28:44.000000000,2022-01-15 07:07:37.000000000
2022-01-19 09:05:51.045610905,2022-01-14 05:24:10.000000000,2022-01-14 11:37:56.000000000,2022-01-15 03:28:41.000000000
2022-01-19 15:04:24.094975948,2022-01-14 05:25:22.000000000,2022-01-14 11:39:08.000000000,2022-01-15 03:17:47.000000000
2022-01-19 17:08:45.735368967,2022-01-14 04:59:58.000000000,2022-01-14 09:59:57.000000000,2022-01-14 21:25:48.000000000
2022-01-20 01:06:10.878329039,2022-01-14 04:52:43.000000000,2022-01-14 09:45:26.000000000,2022-01-14 19:40:34.000000000
2022-01-20 03:09:27.448137999,2022-01-14 04:51:30.000000000,2022-01-14 09:43:01.000000000,2022-01-14 19:41:46.000000000
2022-01-20 06:57:44.736424923,2022-01-14 04:55:08.000000000,2022-01-14 09:50:17.000000000,2022-01-14 19:57:30.000000000
2022-01-20 08:47:49.671247959,2022-01-14 04:57:33.000000000,2022-01-14 09:55:07.000000000,2022-01-14 20:13:13.000000000
2022-01-20 13:36:33.479294062,2022-01-14 05:01:11.000000000,2022-01-14 10:02:22.000000000,2022-01-14 21:13:42.000000000
2022-01-20 14:25:43.336285114,2022-01-14 05:01:11.000000000,2022-01-14 10:02:22.000000000,2022-01-14 21:14:55.000000000
2022-01-20 18:11:53.926577091,2022-01-14 05:02:24.000000000,2022-01-14 10:04:48.000000000,2022-01-14 21:27:00.000000000
2022-01-20 18:13:22.012801886,2022-01-14 05:02:24.000000000,2022-01-14 10:03:35.000000000,2022-01-14 21:18:32.000000000
2022-01-20 21:14:00.150929928,2022-01-14 05:04:49.000000000,2022-01-14 10:13:16.000000000,2022-01-14 21:56:02.000000000
2022-01-21 07:36:34.824860096,2022-01-14 05:03:36.000000000,2022-01-14 10:08:25.000000000,2022-01-14 21:40:19.000000000
2022-01-21 14:13:09.222770929,2022-01-14 05:06:01.000000000,2022-01-14 10:20:31.000000000,2022-01-14 22:23:51.000000000
2022-01-21 16:01:51.922221899,2022-01-14 05:07:14.000000000,2022-01-14 10:24:09.000000000,2022-01-14 22:32:19.000000000
2022-01-21 20:18:24.305419922,2022-01-14 05:13:17.000000000,2022-01-14 10:50:45.000000000,2022-01-14 23:55:47.000000000
2022-01-22 01:01:35.696949959,2022-01-14 05:24:10.000000000,2022-01-14 11:35:31.000000000,2022-01-15 02:05:13.000000000
2022-01-22 07:36:37.211791992,2022-01-14 05:24:10.000000000,2022-01-14 11:35:31.000000000,2022-01-15 02:05:13.000000000
2022-01-22 08:59:02.619754076,2022-01-14 05:10:52.000000000,2022-01-14 10:41:05.000000000,2022-01-14 22:49:16.000000000
2022-01-22 17:03:59.306582928,2022-01-14 05:08:26.000000000,2022-01-14 10:27:46.000000000,2022-01-14 21:49:59.000000000
2022-01-23 01:05:55.288700104,2022-01-14 05:06:01.000000000,2022-01-14 10:19:18.000000000,2022-01-14 21:08:52.000000000
2022-01-23 07:37:39.229088068,2022-01-14 05:06:01.000000000,2022-01-14 10:20:31.000000000,2022-01-14 21:12:29.000000000
2022-01-23 17:59:01.692414999,2022-01-14 05:07:14.000000000,2022-01-14 10:25:21.000000000,2022-01-14 21:29:26.000000000
2022-01-23 18:27:00.091711998,2022-01-14 05:10:52.000000000,2022-01-14 10:39:52.000000000,2022-01-14 22:19:01.000000000
2022-01-23 21:22:31.388896942,2022-01-14 05:37:28.000000000,2022-01-14 12:15:26.000000000,2022-01-15 01:48:17.000000000
2022-01-23 21:35:34.930344105,2022-01-14 05:35:03.000000000,2022-01-14 12:08:10.000000000,2022-01-15 01:19:15.000000000
2022-01-24 01:03:08.792223930,2022-01-14 05:22:57.000000000,2022-01-14 11:23:25.000000000,2022-01-14 22:58:56.000000000
2022-01-24 07:10:39.755095959,2022-01-14 05:01:11.000000000,2022-01-14 10:02:22.000000000,2022-01-14 20:24:06.000000000
2022-01-24 08:57:12.211005926,2022-01-14 04:56:21.000000000,2022-01-14 09:52:42.000000000,2022-01-14 19:40:34.000000000
2022-01-24 14:35:39.586942911,2022-01-14 04:56:21.000000000,2022-01-14 09:51:29.000000000,2022-01-14 19:38:09.000000000
2022-01-24 18:02:27.817239046,2022-01-14 04:57:33.000000000,2022-01-14 09:55:07.000000000,2022-01-14 19:46:37.000000000
2022-01-24 18:21:50.059521914,2022-01-14 04:58:46.000000000,2022-01-14 09:56:19.000000000,2022-01-14 19:47:49.000000000
2022-01-25 04:30:46.926769018,2022-01-14 04:55:08.000000000,2022-01-14 09:49:04.000000000,2022-01-14 19:45:24.000000000
2022-01-25 07:32:35.169647932,2022-01-14 04:55:08.000000000,2022-01-14 09:49:04.000000000,2022-01-14 19:46:37.000000000
2022-01-25 08:59:31.386190891,2022-01-14 04:56:21.000000000,2022-01-14 09:52:42.000000000,2022-01-14 19:33:18.000000000
2022-01-25 13:43:20.589445114,2022-01-14 04:57:33.000000000,2022-01-14 09:55:07.000000000,2022-01-14 19:38:09.000000000
2022-01-25 23:50:25.509004115,2022-01-14 05:01:11.000000000,2022-01-14 10:02:22.000000000,2022-01-14 19:55:05.000000000
2022-01-26 07:33:52.475796938,2022-01-14 05:01:11.000000000,2022-01-14 10:02:22.000000000,2022-01-14 19:55:05.000000000
2022-01-26 14:09:36.408333063,2022-01-14 05:02:24.000000000,2022-01-14 10:04:48.000000000,2022-01-14 20:01:07.000000000
2022-01-27 07:32:40.788104057,2022-01-14 05:02:24.000000000,2022-01-14 10:04:48.000000000,2022-01-14 19:59:55.000000000
2022-01-27 09:02:38.625816107,2022-01-14 04:58:46.000000000,2022-01-14 09:58:45.000000000,2022-01-14 19:16:22.000000000
2022-01-27 15:04:53.162826061,2022-01-14 05:01:11.000000000,2022-01-14 10:01:10.000000000,2022-01-14 19:24:50.000000000
2022-01-27 23:07:05.656630993,2022-01-14 04:57:33.000000000,2022-01-14 09:55:07.000000000,2022-01-14 19:15:10.000000000
2022-01-28 07:33:32.923860073,2022-01-14 04:57:33.000000000,2022-01-14 09:55:07.000000000,2022-01-14 19:15:10.000000000
2022-01-28 14:16:32.039908886,2022-01-14 04:58:46.000000000,2022-01-14 09:57:32.000000000,2022-01-14 19:20:00.000000000
2022-01-28 14:16:51.358095884,2022-01-14 04:58:46.000000000,2022-01-14 09:57:32.000000000,2022-01-14 19:20:00.000000000
2022-01-29 06:44:27.054061890,2022-01-14 04:49:05.000000000,2022-01-14 09:39:23.000000000,2022-01-14 19:01:51.000000000
2022-01-29 07:33:06.166625023,2022-01-14 04:49:05.000000000,2022-01-14 09:38:11.000000000,2022-01-14 19:01:51.000000000
2022-01-30 07:32:46.681237936,2022-01-14 04:49:05.000000000,2022-01-14 09:39:23.000000000,2022-01-14 19:01:51.000000000
2022-01-30 18:36:07.704524994,2022-01-14 04:50:18.000000000,2022-01-14 09:41:49.000000000,2022-01-14 19:06:42.000000000
2022-01-30 19:19:35.786259890,2022-01-14 05:03:36.000000000,2022-01-14 10:12:03.000000000,2022-01-14 20:04:45.000000000
2022-01-31 07:33:12.796297073,2022-01-14 05:03:36.000000000,2022-01-14 10:12:03.000000000,2022-01-14 20:04:45.000000000
2022-01-31 14:19:29.927604914,2022-01-14 05:07:14.000000000,2022-01-14 10:24:09.000000000,2022-01-14 20:35:00.000000000
2022-02-01 05:03:33.663774967,2022-01-14 05:08:26.000000000,2022-01-14 10:27:46.000000000,2022-01-14 20:43:28.000000000
2022-02-01 07:34:12.419766903,2022-01-14 05:08:26.000000000,2022-01-14 10:27:46.000000000,2022-01-14 20:43:28.000000000
2022-02-01 16:33:32.467048883,2022-01-14 05:09:39.000000000,2022-01-14 10:32:37.000000000,2022-01-14 20:54:21.000000000
2022-02-01 20:19:59.864104033,2022-01-14 05:13:17.000000000,2022-01-14 10:45:55.000000000,2022-01-14 21:20:57.000000000
2022-02-01 23:08:32.070885897,2022-01-14 05:15:42.000000000,2022-01-14 10:54:23.000000000,2022-01-14 21:39:06.000000000
2022-02-02 07:38:02.013696909,2022-01-14 05:15:42.000000000,2022-01-14 10:54:23.000000000,2022-01-14 21:39:06.000000000
2022-02-02 14:58:15.421364069,2022-01-14 05:16:54.000000000,2022-01-14 10:59:13.000000000,2022-01-14 21:53:37.000000000
2022-02-02 15:03:35.694622993,2022-01-14 04:52:43.000000000,2022-01-14 09:45:26.000000000,2022-01-14 19:35:43.000000000
2022-02-03 07:38:26.480428934,2022-01-14 04:52:43.000000000,2022-01-14 09:45:26.000000000,2022-01-14 19:35:43.000000000
2022-02-03 16:30:44.036479950,2022-01-14 04:28:31.000000000,2022-01-14 08:57:03.000000000,2022-01-14 17:56:32.000000000
2022-02-03 17:51:02.878216028,2022-01-14 04:23:41.000000000,2022-01-14 08:47:23.000000000,2022-01-14 17:32:21.000000000
2022-02-03 20:16:39.757917881,2022-01-14 04:29:44.000000000,2022-01-14 08:58:16.000000000,2022-01-14 18:02:35.000000000
2022-02-03 21:14:34.248893976,2022-01-14 04:30:57.000000000,2022-01-14 09:03:06.000000000,2022-01-14 18:13:28.000000000
2022-02-04 01:09:08.065180063,2022-01-14 04:30:57.000000000,2022-01-14 09:01:54.000000000,2022-01-14 18:13:28.000000000
2022-02-04 01:20:25.551908970,2022-01-14 04:33:22.000000000,2022-01-14 09:06:44.000000000,2022-01-14 18:26:47.000000000
2022-02-04 07:38:27.167665005,2022-01-14 04:33:22.000000000,2022-01-14 09:07:56.000000000,2022-01-14 18:29:12.000000000
2022-02-04 11:06:27.067763090,2022-01-14 04:34:34.000000000,2022-01-14 09:09:09.000000000,2022-01-14 18:32:49.000000000
2022-02-04 14:05:06.918225050,2022-01-14 04:43:02.000000000,2022-01-14 09:24:52.000000000,2022-01-14 19:22:25.000000000
