date,q1,q2,q3
2021-12-03 17:06:13.566430092,2022-02-02 17:26:14.000000000,2022-02-09 09:29:15.000000000,2022-02-15 08:30:09.000000000
2021-12-03 18:13:43.892982006,2022-01-31 14:57:24.000000000,2022-02-21 03:41:14.000000000,2022-02-23 19:28:24.000000000
2021-12-03 22:08:39.473936081,2022-01-04 20:10:31.000000000,2022-02-13 07:59:51.000000000,2022-02-23 09:09:06.000000000
2021-12-04 01:50:44.692751884,2021-12-03 09:52:42.000000000,2021-12-12 20:23:46.000000000,2022-02-19 06:42:37.000000000
2021-12-04 02:12:39.928731918,2021-12-03 20:03:33.000000000,2022-01-25 03:21:42.000000000,2022-02-18 04:13:12.000000000
2021-12-04 07:47:44.877772093,2021-12-03 22:56:31.000000000,2022-01-24 21:16:24.000000000,2022-02-17 14:41:34.000000000
2021-12-04 09:14:08.290508032,2021-12-04 01:53:07.000000000,2022-01-22 12:15:40.000000000,2022-02-16 22:58:04.000000000
2021-12-04 12:00:52.683401108,2021-12-04 02:01:35.000000000,2022-01-22 12:27:45.000000000,2022-02-17 00:46:56.000000000
2021-12-04 15:14:56.417556047,2021-12-04 04:55:46.000000000,2022-01-25 06:23:09.000000000,2022-02-18 12:14:37.000000000
2021-12-04 17:21:41.703178883,2021-12-04 01:26:30.000000000,2022-01-22 15:27:59.000000000,2022-02-21 16:25:42.000000000
2021-12-04 19:24:38.289011955,2021-12-04 01:24:05.000000000,2022-01-22 11:18:48.000000000,2022-02-21 16:08:46.000000000
2021-12-04 23:06:31.931840897,2021-12-04 01:53:07.000000000,2022-01-22 20:02:34.000000000,2022-02-21 16:31:45.000000000
2021-12-05 01:26:46.502674103,2021-12-04 01:15:37.000000000,2022-01-14 09:43:01.000000000,2022-02-22 17:21:59.000000000
2021-12-05 08:04:16.918664932,2021-12-04 01:15:37.000000000,2022-01-14 09:43:01.000000000,2022-02-22 17:21:59.000000000
2021-12-05 09:12:20.787715912,2021-12-05 05:29:04.000000000,2021-12-31 21:42:20.000000000,2022-02-22 06:11:51.000000000
2021-12-05 18:36:39.017651081,2021-12-04 23:32:14.000000000,2022-01-01 05:05:02.000000000,2022-02-22 11:54:10.000000000
2021-12-06 08:04:01.609472036,2021-12-04 23:44:19.000000000,2022-01-01 05:26:49.000000000,2022-02-22 11:55:23.000000000
2021-12-06 12:34:48.175102949,2021-12-05 04:00:46.000000000,2022-01-02 02:21:10.000000000,2022-02-22 14:21:45.000000000
2021-12-06 17:29:31.022804022,2021-12-05 19:36:59.000000000,2022-01-03 16:14:00.000000000,2022-02-22 07:05:05.000000000
2021-12-06 17:31:19.221358061,2021-12-05 16:30:43.000000000,2022-01-02 20:21:21.000000000,2022-02-22 08:03:08.000000000
2021-12-06 20:45:33.643239975,2021-12-05 10:01:13.000000000,2022-01-02 18:57:53.000000000,2022-02-22 09:19:21.000000000
2021-12-06 23:16:33.268263101,2021-12-04 14:00:05.000000000,2021-12-31 17:52:30.000000000,2022-02-22 07:02:40.000000000
2021-12-07 01:00:25.231753111,2021-12-03 19:59:55.000000000,2022-01-01 13:34:17.000000000,2022-02-21 21:14:48.000000000
2021-12-07 03:38:19.485793114,2021-12-03 15:51:57.000000000,2021-12-31 23:04:35.000000000,2022-02-22 16:23:55.000000000
2021-12-07 08:03:56.704905033,2021-12-03 15:54:22.000000000,2022-01-01 00:59:30.000000000,2022-02-22 16:14:14.000000000
2021-12-07 11:40:35.580609083,2021-12-03 15:58:00.000000000,2021-12-31 20:07:59.000000000,2022-02-22 12:00:13.000000000
2021-12-07 13:41:44.899616003,2021-12-03 16:17:21.000000000,2022-01-01 02:41:06.000000000,2022-02-20 15:00:24.000000000
2021-12-07 15:12:38.736938953,2021-12-03 16:29:27.000000000,2021-12-31 22:12:34.000000000,2022-02-20 05:36:43.000000000
2021-12-07 16:53:38.077519894,2021-12-03 13:20:45.000000000,2021-12-31 12:44:03.000000000,2022-02-20 10:41:32.000000000
2021-12-07 19:25:12.413275003,2021-12-03 11:21:00.000000000,2021-12-24 18:50:58.000000000,2022-02-15 18:38:35.000000000
2021-12-07 23:21:41.811731100,2021-12-03 11:21:00.000000000,2021-12-24 11:30:40.000000000,2022-02-15 10:06:55.000000000
2021-12-08 01:06:30.720575094,2021-12-03 09:32:08.000000000,2021-12-05 17:20:18.000000000,2022-02-06 21:53:40.000000000
2021-12-08 08:52:27.500247002,2021-12-03 09:29:43.000000000,2021-12-05 20:35:03.000000000,2022-02-21 13:29:06.000000000
2021-12-08 14:43:42.596549034,2021-12-03 09:33:21.000000000,2021-12-06 04:48:34.000000000,2022-02-21 13:56:55.000000000
2021-12-08 14:58:33.131567000,2021-12-03 09:43:01.000000000,2021-12-08 15:13:59.000000000,2022-02-21 09:34:26.000000000
2021-12-08 19:10:48.117479086,2021-12-03 09:40:36.000000000,2021-12-08 14:31:39.000000000,2022-02-21 12:14:06.000000000
2021-12-08 20:05:21.453538895,2021-12-03 10:07:13.000000000,2021-12-21 13:07:58.000000000,2022-02-22 03:18:53.000000000
2021-12-09 00:54:48.752392054,2021-12-03 10:58:01.000000000,2021-12-29 04:52:15.000000000,2022-02-22 19:21:44.000000000
2021-12-09 09:31:04.027750015,2021-12-03 10:03:35.000000000,2021-12-24 01:28:18.000000000,2022-02-21 23:03:40.000000000
2021-12-09 16:54:13.297533989,2021-12-03 10:14:28.000000000,2021-12-26 05:12:08.000000000,2022-02-22 00:18:39.000000000
2021-12-09 17:00:17.655467033,2021-12-03 09:57:32.000000000,2021-12-23 03:12:54.000000000,2022-02-21 20:04:38.000000000
2021-12-10 15:29:24.758891106,2021-12-03 10:07:13.000000000,2021-12-25 23:12:52.000000000,2022-02-21 20:43:21.000000000
2021-12-10 16:26:28.530528069,2021-12-03 10:20:31.000000000,2021-12-27 19:47:18.000000000,2022-02-21 18:15:46.000000000
2021-12-11 00:17:27.596107006,2021-12-03 08:48:35.000000000,2021-12-04 05:58:40.000000000,2022-02-19 12:44:17.000000000
2021-12-11 08:56:40.550489902,2021-12-03 07:27:33.000000000,2021-12-03 19:11:32.000000000,2022-01-23 12:27:11.000000000
2021-12-11 14:51:53.206995964,2021-12-03 07:33:36.000000000,2021-12-03 19:34:31.000000000,2022-01-25 10:31:07.000000000
2021-12-11 16:50:29.176259041,2021-12-03 07:52:57.000000000,2021-12-03 21:40:19.000000000,2022-02-21 15:38:32.000000000
2021-12-13 02:57:00.559581041,2021-12-03 07:52:57.000000000,2021-12-03 21:52:24.000000000,2022-02-21 12:11:41.000000000
2021-12-13 15:28:23.036391020,2021-12-03 08:26:49.000000000,2021-12-04 02:51:11.000000000,2022-02-20 15:56:02.000000000
2021-12-13 15:28:30.672554016,2021-12-03 08:26:49.000000000,2021-12-04 02:53:36.000000000,2022-02-20 16:39:35.000000000
2021-12-14 14:34:17.372164011,2021-12-03 07:50:32.000000000,2021-12-03 21:05:14.000000000,2022-02-09 08:36:02.000000000
2021-12-14 15:45:30.316632986,2021-12-03 07:16:39.000000000,2021-12-03 19:33:18.000000000,2022-01-31 10:14:21.000000000
2021-12-14 18:35:48.310532093,2021-12-03 07:13:02.000000000,2021-12-03 19:24:50.000000000,2022-01-31 20:44:33.000000000
2021-12-14 21:49:45.047621012,2021-12-03 07:27:33.000000000,2021-12-03 20:48:18.000000000,2022-02-07 00:58:45.000000000
2021-12-14 23:59:57.121408939,2021-12-03 07:55:22.000000000,2021-12-04 01:22:53.000000000,2022-02-17 03:54:25.000000000
2021-12-16 00:38:56.270104885,2021-12-03 07:40:51.000000000,2021-12-03 22:45:38.000000000,2022-02-14 09:34:50.000000000
2021-12-16 00:39:16.569972038,2021-12-03 07:37:13.000000000,2021-12-03 22:05:43.000000000,2022-02-13 14:45:04.000000000
2021-12-16 22:31:45.405065060,2021-12-03 07:42:04.000000000,2021-12-03 22:37:10.000000000,2022-02-12 16:32:06.000000000
2021-12-17 01:20:55.653832912,2021-12-03 07:00:56.000000000,2021-12-03 17:51:42.000000000,2022-02-17 22:18:47.000000000
2021-12-17 06:42:35.362138033,2021-12-03 07:13:02.000000000,2021-12-03 18:59:26.000000000,2022-02-02 13:17:04.000000000
2021-12-17 09:07:33.301708937,2021-12-03 06:40:22.000000000,2021-12-03 16:37:55.000000000,2022-01-08 16:37:44.000000000
2021-12-17 15:43:59.154347897,2021-12-03 06:53:40.000000000,2021-12-03 17:28:43.000000000,2022-01-22 16:10:19.000000000
2021-12-17 17:55:08.826858997,2021-12-03 06:54:53.000000000,2021-12-03 17:35:58.000000000,2022-01-25 04:27:02.000000000
