date,q1,q2,q3
2022-02-04 17:15:56.328541994,2022-03-20 03:41:24.000000000,2022-04-05 11:00:57.000000000,2022-04-20 07:26:41.000000000
2022-02-04 17:16:22.018126011,2022-03-23 00:58:48.000000000,2022-04-08 01:37:58.000000000,2022-04-21 22:11:32.000000000
2022-02-04 17:37:49.023839951,2022-04-03 22:14:38.000000000,2022-04-16 17:42:15.000000000,2022-04-24 11:52:54.000000000
2022-02-04 18:06:29.306299925,2022-04-06 22:58:53.000000000,2022-04-19 11:59:25.000000000,2022-04-26 02:32:55.000000000
2022-02-04 20:59:19.248281956,2022-04-06 12:54:05.000000000,2022-04-17 08:36:09.000000000,2022-04-24 13:56:17.000000000
2022-02-04 21:45:16.806576967,2022-04-05 22:34:03.000000000,2022-04-16 20:32:48.000000000,2022-04-24 08:22:26.000000000
2022-02-05 01:14:57.015630007,2022-04-05 16:08:11.000000000,2022-04-17 04:49:57.000000000,2022-04-24 18:17:34.000000000
2022-02-05 05:20:13.312434912,2022-04-07 05:57:24.000000000,2022-04-18 20:40:07.000000000,2022-04-26 05:05:20.000000000
2022-02-05 07:38:26.751211882,2022-04-07 05:41:40.000000000,2022-04-18 20:49:48.000000000,2022-04-26 05:24:41.000000000
2022-02-05 16:22:26.335319996,2022-04-06 23:40:00.000000000,2022-04-18 11:49:06.000000000,2022-04-26 01:27:36.000000000
2022-02-05 19:14:23.658034086,2022-04-06 23:27:55.000000000,2022-04-18 13:54:54.000000000,2022-04-26 02:46:14.000000000
2022-02-05 19:16:21.000224113,2022-04-05 14:33:50.000000000,2022-04-17 13:34:55.000000000,2022-04-25 13:55:43.000000000
2022-02-05 19:37:49.594695091,2022-04-05 11:05:47.000000000,2022-04-17 12:24:46.000000000,2022-04-25 13:33:56.000000000
2022-02-05 19:39:19.942768097,2022-04-05 11:38:27.000000000,2022-04-17 13:13:09.000000000,2022-04-25 13:54:30.000000000
2022-02-06 07:38:51.308857918,2022-04-05 11:21:31.000000000,2022-04-17 14:28:08.000000000,2022-04-25 15:08:17.000000000
2022-02-06 14:27:26.915268898,2022-04-07 13:06:48.000000000,2022-04-19 01:02:36.000000000,2022-04-25 22:51:34.000000000
