date,q1,q2,q3
2021-11-12 17:47:40.706038952,2022-01-08 16:14:11.000000000,2022-01-15 09:16:28.000000000,2022-01-22 04:23:20.000000000
2021-11-12 17:50:19.218691111,2021-12-02 08:32:52.000000000,2021-12-17 12:58:48.000000000,2022-01-05 10:40:51.000000000
2021-11-12 17:50:22.411699057,2021-12-06 22:07:02.000000000,2021-12-21 21:24:32.000000000,2022-01-08 05:47:36.000000000
2021-11-12 17:50:25.758912086,2021-12-03 03:27:28.000000000,2021-12-21 19:50:11.000000000,2022-01-09 23:21:48.000000000
2021-11-12 18:34:29.558284998,2021-12-09 06:14:34.000000000,2022-01-03 00:08:10.000000000,2022-01-16 05:32:07.000000000
2021-11-12 18:35:43.695209980,2021-12-06 14:44:19.000000000,2021-12-26 18:54:05.000000000,2022-01-14 01:56:45.000000000
2021-11-12 18:37:46.987446070,2021-12-06 18:46:15.000000000,2021-12-27 02:11:57.000000000,2022-01-13 20:50:43.000000000
2021-11-12 19:27:59.080550909,2021-12-04 19:03:07.000000000,2021-12-22 20:44:02.000000000,2022-01-11 18:12:12.000000000
2021-11-12 20:28:50.995986938,2021-12-04 19:26:06.000000000,2021-12-23 03:28:03.000000000,2022-01-11 22:56:28.000000000
2021-11-12 21:11:17.976797104,2021-12-10 13:05:15.000000000,2022-01-02 05:15:59.000000000,2022-01-16 20:50:12.000000000
2021-11-12 21:23:30.474926949,2021-12-12 15:00:13.000000000,2022-01-05 11:41:20.000000000,2022-01-18 06:29:01.000000000
2021-11-13 00:17:21.312500000,2021-12-12 15:05:04.000000000,2022-01-05 12:49:04.000000000,2022-01-18 05:53:57.000000000
2021-11-13 01:02:22.258013010,2021-12-16 20:16:03.000000000,2022-01-09 07:44:22.000000000,2022-01-19 13:39:04.000000000
2021-11-13 01:10:20.070983887,2021-12-16 22:25:28.000000000,2022-01-09 08:55:44.000000000,2022-01-19 13:29:23.000000000
2021-11-13 05:53:52.886107922,2021-12-16 21:58:52.000000000,2022-01-08 02:35:17.000000000,2022-01-18 22:10:05.000000000
2021-11-13 08:03:23.371911049,2021-12-16 22:02:29.000000000,2022-01-08 02:19:33.000000000,2022-01-18 22:00:25.000000000
2021-11-13 09:03:09.519622087,2021-12-19 21:43:50.000000000,2022-01-09 08:40:00.000000000,2022-01-17 12:44:34.000000000
2021-11-13 12:02:22.685178995,2021-12-06 17:45:46.000000000,2022-01-02 09:52:59.000000000,2022-01-15 17:42:05.000000000
2021-11-13 12:49:52.633423090,2021-12-06 15:53:16.000000000,2022-01-02 02:20:36.000000000,2022-01-15 16:36:46.000000000
2021-11-13 13:46:43.785978079,2021-12-06 16:57:23.000000000,2022-01-02 03:11:24.000000000,2022-01-15 16:25:52.000000000
2021-11-13 17:04:58.054115057,2021-12-04 07:00:59.000000000,2021-12-30 10:46:43.000000000,2022-01-13 15:49:32.000000000
2021-11-13 19:01:49.874478102,2021-12-02 14:28:29.000000000,2021-12-29 15:13:25.000000000,2022-01-13 16:30:39.000000000
2021-11-13 22:29:46.830832958,2021-12-02 14:49:03.000000000,2021-12-29 14:51:38.000000000,2022-01-13 16:25:49.000000000
2021-11-14 01:04:21.494807959,2021-11-29 23:06:43.000000000,2021-12-26 15:46:35.000000000,2022-01-12 23:32:10.000000000
2021-11-14 08:06:43.007031918,2021-11-29 23:06:43.000000000,2021-12-26 15:46:35.000000000,2022-01-12 23:32:10.000000000
2021-11-14 23:11:32.590411901,2021-11-30 19:57:26.000000000,2021-12-27 11:50:09.000000000,2022-01-13 04:14:00.000000000
2021-11-14 23:20:38.008979082,2021-12-02 05:02:24.000000000,2021-12-28 13:51:44.000000000,2022-01-13 02:14:15.000000000
2021-11-15 08:03:51.668911934,2021-12-02 05:02:24.000000000,2021-12-28 13:51:44.000000000,2022-01-13 02:14:15.000000000
2021-11-16 08:04:10.899847031,2021-12-02 05:27:48.000000000,2021-12-28 14:38:55.000000000,2022-01-13 02:14:15.000000000
2021-11-16 16:19:54.111371040,2021-12-06 05:58:09.000000000,2022-01-02 03:21:04.000000000,2022-01-15 05:42:22.000000000
2021-11-16 20:08:42.855881929,2021-12-06 03:24:32.000000000,2022-01-02 06:04:22.000000000,2022-01-16 04:18:20.000000000
2021-11-16 20:09:31.419008970,2021-12-10 02:42:19.000000000,2022-01-03 19:05:12.000000000,2022-01-16 15:51:26.000000000
2021-11-16 20:10:06.436422110,2021-12-09 12:12:36.000000000,2022-01-04 01:40:44.000000000,2022-01-16 18:39:34.000000000
2021-11-16 20:11:06.867002964,2021-12-10 04:43:16.000000000,2022-01-05 03:06:02.000000000,2022-01-16 21:16:49.000000000
2021-11-16 20:11:31.424746990,2021-12-10 14:08:09.000000000,2022-01-05 12:55:07.000000000,2022-01-17 09:39:30.000000000
2021-11-16 20:12:08.287939072,2021-12-08 18:41:28.000000000,2022-01-04 16:29:47.000000000,2022-01-17 06:46:32.000000000
2021-11-17 01:27:13.059561968,2021-12-16 01:56:31.000000000,2022-01-06 19:13:09.000000000,2022-01-17 02:59:08.000000000
2021-11-17 08:04:37.350778103,2021-12-16 00:51:12.000000000,2022-01-06 18:59:50.000000000,2022-01-17 03:05:11.000000000
2021-11-17 15:22:26.376323938,2021-12-14 20:58:19.000000000,2022-01-06 12:41:14.000000000,2022-01-17 06:42:54.000000000
2021-11-17 17:18:38.073548079,2021-12-12 22:33:49.000000000,2022-01-05 18:01:09.000000000,2022-01-16 19:11:01.000000000
2021-11-17 17:42:16.707110882,2021-12-12 14:28:46.000000000,2022-01-05 16:30:25.000000000,2022-01-16 19:20:41.000000000
2021-11-18 01:13:34.452727079,2021-12-04 20:54:24.000000000,2022-01-04 06:09:16.000000000,2022-01-16 20:03:02.000000000
2021-11-18 08:05:50.005593061,2021-12-04 20:54:24.000000000,2022-01-04 06:09:16.000000000,2022-01-16 20:03:02.000000000
2021-11-18 19:38:22.780656099,2021-12-09 18:16:42.000000000,2022-01-05 09:19:48.000000000,2022-01-17 10:48:27.000000000
2021-11-19 01:08:40.077385902,2021-12-13 04:42:45.000000000,2022-01-06 15:16:04.000000000,2022-01-18 13:20:17.000000000
2021-11-19 08:03:40.538616896,2021-12-13 02:55:06.000000000,2022-01-06 14:40:59.000000000,2022-01-18 12:51:15.000000000
2021-11-20 06:38:55.405767918,2021-12-12 00:01:29.000000000,2022-01-10 12:47:24.000000000,2022-01-23 04:45:45.000000000
2021-11-20 08:03:45.828212023,2021-12-12 00:07:32.000000000,2022-01-10 12:59:30.000000000,2022-01-23 05:02:41.000000000
2021-11-21 08:03:32.567795992,2021-12-12 00:07:32.000000000,2022-01-10 12:59:30.000000000,2022-01-23 05:02:41.000000000
2021-11-22 01:39:03.041732073,2021-12-12 00:09:57.000000000,2022-01-10 07:11:08.000000000,2022-01-22 23:11:54.000000000
2021-11-22 08:02:57.047044039,2021-12-12 00:36:34.000000000,2022-01-10 07:35:19.000000000,2022-01-22 23:43:21.000000000
2021-11-22 17:09:20.890443087,2021-12-21 11:02:48.000000000,2022-01-12 10:45:17.000000000,2022-01-23 03:02:56.000000000
2021-11-23 00:51:15.083823919,2021-12-22 04:59:20.000000000,2022-01-11 07:33:32.000000000,2022-01-21 12:49:32.000000000
2021-11-23 06:09:24.711837053,2021-12-16 20:43:52.000000000,2022-01-11 01:40:20.000000000,2022-01-21 22:10:47.000000000
2021-11-23 08:03:39.364901066,2021-12-16 23:29:35.000000000,2022-01-11 02:25:05.000000000,2022-01-21 23:20:56.000000000
2021-11-23 08:47:11.735804081,2021-12-18 00:50:03.000000000,2022-01-11 03:34:02.000000000,2022-01-22 07:38:05.000000000
2021-11-23 21:05:13.277251005,2021-12-20 06:44:31.000000000,2022-01-11 08:24:20.000000000,2022-01-22 09:00:20.000000000
2021-11-23 21:05:23.892560959,2021-12-20 08:22:30.000000000,2022-01-11 08:42:29.000000000,2022-01-22 09:11:13.000000000
2021-11-24 02:13:32.542470932,2021-12-18 21:58:55.000000000,2022-01-09 16:59:34.000000000,2022-01-21 03:25:51.000000000
2021-11-24 08:03:51.817358971,2021-12-18 22:27:57.000000000,2022-01-09 16:58:22.000000000,2022-01-21 03:28:16.000000000
2021-11-24 15:40:02.234663010,2021-12-21 00:21:42.000000000,2022-01-10 15:14:58.000000000,2022-01-21 09:48:05.000000000
2021-11-25 08:03:47.766752958,2021-12-21 00:12:02.000000000,2022-01-10 15:04:05.000000000,2022-01-21 09:23:54.000000000
2021-11-25 20:14:18.734107971,2021-12-20 22:44:56.000000000,2022-01-10 13:01:55.000000000,2022-01-21 08:17:22.000000000
2021-11-26 00:58:55.165431023,2021-12-21 06:17:20.000000000,2022-01-09 18:02:28.000000000,2022-01-20 04:59:34.000000000
2021-11-26 13:51:22.920784950,2021-12-22 05:24:44.000000000,2022-01-10 06:04:36.000000000,2022-01-20 18:22:45.000000000
2021-11-26 13:52:58.878606081,2021-12-21 22:54:02.000000000,2022-01-10 03:56:23.000000000,2022-01-20 17:13:48.000000000
2021-11-26 16:19:06.669461966,2021-12-21 10:26:30.000000000,2022-01-09 21:57:08.000000000,2022-01-20 18:50:34.000000000
2021-11-27 11:34:48.394809008,2021-12-22 06:01:02.000000000,2022-01-10 14:19:20.000000000,2022-01-21 16:21:12.000000000
2021-11-27 14:57:19.430387974,2021-12-21 21:39:03.000000000,2022-01-09 08:29:07.000000000,2022-01-20 20:05:34.000000000
2021-11-27 14:58:15.585159063,2021-12-22 00:42:54.000000000,2022-01-09 12:24:59.000000000,2022-01-21 01:07:58.000000000
2021-11-27 15:03:50.149923086,2021-12-23 12:21:29.000000000,2022-01-10 02:17:12.000000000,2022-01-21 06:17:37.000000000
2021-11-27 17:12:24.233120918,2021-12-23 19:15:10.000000000,2022-01-09 17:35:51.000000000,2022-01-21 00:54:39.000000000
2021-11-27 20:04:13.871840000,2021-12-14 14:10:41.000000000,2022-01-04 14:53:01.000000000,2022-01-18 16:21:44.000000000
2021-11-27 20:26:47.748526096,2021-12-15 11:53:26.000000000,2022-01-05 10:03:21.000000000,2022-01-18 20:35:45.000000000
2021-11-28 05:06:22.282481909,2021-12-14 06:22:34.000000000,2022-01-04 22:20:34.000000000,2022-01-18 17:00:26.000000000
2021-11-28 15:14:26.632096052,2021-12-14 03:25:58.000000000,2022-01-04 19:44:32.000000000,2022-01-18 15:18:50.000000000
2021-11-28 15:16:08.605834961,2021-12-14 02:12:11.000000000,2022-01-04 19:16:43.000000000,2022-01-18 15:07:56.000000000
2021-11-28 15:16:21.466981888,2021-12-14 03:16:18.000000000,2022-01-04 19:38:29.000000000,2022-01-18 15:15:12.000000000
2021-11-28 15:16:38.635987043,2021-12-14 03:53:47.000000000,2022-01-04 19:43:20.000000000,2022-01-18 15:15:12.000000000
2021-11-28 17:23:57.827280998,2021-12-14 01:55:15.000000000,2022-01-04 23:31:56.000000000,2022-01-18 00:39:27.000000000
2021-11-29 19:29:14.327369928,2021-12-14 05:55:58.000000000,2022-01-05 02:15:14.000000000,2022-01-18 01:31:28.000000000
2021-11-30 01:27:28.934467077,2021-12-16 21:32:15.000000000,2022-01-07 12:08:00.000000000,2022-01-18 22:14:56.000000000
2021-11-30 14:39:35.128410101,2021-12-12 09:19:07.000000000,2022-01-06 09:18:01.000000000,2022-01-18 10:33:22.000000000
2021-11-30 17:03:22.081634998,2021-12-12 11:14:02.000000000,2022-01-06 07:40:03.000000000,2022-01-18 07:36:46.000000000
2021-11-30 17:47:41.822065115,2021-12-13 03:49:32.000000000,2022-01-06 11:20:11.000000000,2022-01-18 07:11:21.000000000
2021-12-01 23:47:03.280217886,2021-12-17 04:30:46.000000000,2022-01-08 13:32:06.000000000,2022-01-19 01:33:18.000000000
2021-12-02 00:58:00.928075075,2021-12-20 02:46:14.000000000,2022-01-09 12:15:19.000000000,2022-01-19 10:54:33.000000000
2021-12-02 16:10:03.081625938,2021-12-20 01:00:59.000000000,2022-01-09 09:32:01.000000000,2022-01-19 09:04:29.000000000
2021-12-02 17:33:39.258698940,2021-12-20 21:36:00.000000000,2022-01-09 15:03:27.000000000,2022-01-19 11:39:19.000000000
2021-12-02 19:15:39.386626005,2021-12-20 18:46:39.000000000,2022-01-09 17:08:02.000000000,2022-01-19 15:25:31.000000000
2021-12-02 19:36:12.866862059,2021-12-22 03:10:28.000000000,2022-01-09 13:36:21.000000000,2022-01-19 14:08:06.000000000
2021-12-02 19:36:51.075032949,2021-12-22 13:57:37.000000000,2022-01-10 01:53:00.000000000,2022-01-19 21:15:05.000000000
2021-12-02 19:37:29.654037952,2021-12-22 03:03:13.000000000,2022-01-10 01:30:01.000000000,2022-01-19 22:14:21.000000000
2021-12-02 19:45:03.224705935,2021-12-22 10:27:08.000000000,2022-01-10 04:36:18.000000000,2022-01-19 23:37:49.000000000
2021-12-02 19:45:25.698926926,2021-12-22 10:27:08.000000000,2022-01-10 04:36:18.000000000,2022-01-19 23:37:49.000000000
2021-12-03 08:04:23.216363907,2021-12-22 10:27:08.000000000,2022-01-10 04:36:18.000000000,2022-01-19 23:37:49.000000000
2021-12-03 15:38:02.946609020,2021-12-24 22:55:56.000000000,2022-01-09 18:46:01.000000000,2022-01-20 00:47:58.000000000
2021-12-03 16:15:22.468875885,2021-12-24 21:30:04.000000000,2022-01-09 17:58:50.000000000,2022-01-20 00:15:19.000000000
2021-12-03 16:15:57.202054024,2021-12-24 22:18:27.000000000,2022-01-09 18:59:19.000000000,2022-01-20 00:34:40.000000000
2021-12-03 16:16:41.010179043,2021-12-25 00:16:59.000000000,2022-01-09 20:03:26.000000000,2022-01-20 01:17:00.000000000
