date,q1,q2,q3
2022-02-25 18:17:43.923916101,2022-02-25 03:49:49.000000000,2022-02-25 07:39:38.000000000,2022-02-25 14:13:58.000000000
2022-02-25 19:47:39.710958958,2022-02-25 04:49:05.000000000,2022-02-25 09:38:11.000000000,2022-02-25 22:52:53.000000000
2022-02-25 21:42:48.837805033,2022-02-25 04:34:34.000000000,2022-02-25 09:07:56.000000000,2022-02-25 19:52:39.000000000
2022-02-25 21:43:07.166367054,2022-02-25 04:36:59.000000000,2022-02-25 09:13:59.000000000,2022-02-25 20:16:51.000000000
2022-02-25 23:26:37.125936031,2022-02-25 04:36:59.000000000,2022-02-25 09:15:12.000000000,2022-02-25 20:26:32.000000000
2022-02-25 23:42:26.509938955,2022-02-25 04:56:21.000000000,2022-02-25 09:53:54.000000000,2022-02-25 21:16:07.000000000
2022-02-26 00:41:16.922348022,2022-02-25 05:02:24.000000000,2022-02-25 10:04:48.000000000,2022-02-25 22:14:11.000000000
2022-02-26 01:32:33.436296940,2022-02-25 05:09:39.000000000,2022-02-25 10:33:49.000000000,2022-02-25 23:26:45.000000000
2022-02-26 07:36:14.392268896,2022-02-25 05:08:26.000000000,2022-02-25 10:32:37.000000000,2022-02-25 23:21:55.000000000
2022-02-26 12:28:40.855159044,2022-02-25 05:14:29.000000000,2022-02-25 10:56:48.000000000,2022-02-26 00:32:04.000000000
2022-02-26 19:26:55.505589007,2022-02-25 06:59:43.000000000,2022-02-25 18:29:12.000000000,2022-03-11 05:01:35.000000000
2022-02-26 23:37:02.150038004,2022-02-25 07:09:24.000000000,2022-02-25 19:07:54.000000000,2022-03-16 09:29:39.000000000
2022-02-27 00:22:53.295964956,2022-02-25 06:59:43.000000000,2022-02-25 18:35:15.000000000,2022-03-14 18:41:11.000000000
2022-02-27 01:39:59.607887030,2022-02-25 05:36:16.000000000,2022-02-25 12:21:29.000000000,2022-02-26 04:19:29.000000000
2022-02-27 07:35:23.113046885,2022-02-25 05:36:16.000000000,2022-02-25 12:21:29.000000000,2022-02-26 04:19:29.000000000
2022-02-27 09:09:52.131169081,2022-02-25 05:07:14.000000000,2022-02-25 10:25:21.000000000,2022-02-25 20:44:40.000000000
2022-02-27 17:00:15.161668062,2022-02-25 05:09:39.000000000,2022-02-25 10:32:37.000000000,2022-02-25 21:10:04.000000000
2022-02-27 17:13:48.852209091,2022-02-25 04:57:33.000000000,2022-02-25 09:53:54.000000000,2022-02-25 19:30:53.000000000
2022-02-27 19:52:59.330020905,2022-02-25 04:59:58.000000000,2022-02-25 09:59:57.000000000,2022-02-25 19:45:24.000000000
2022-02-28 07:35:39.879415035,2022-02-25 04:59:58.000000000,2022-02-25 09:59:57.000000000,2022-02-25 19:45:24.000000000
2022-02-28 15:49:08.404568911,2022-02-25 04:59:58.000000000,2022-02-25 09:59:57.000000000,2022-02-25 19:45:24.000000000
2022-02-28 17:08:16.996313095,2022-02-25 04:35:47.000000000,2022-02-25 09:11:34.000000000,2022-02-25 18:18:19.000000000
2022-02-28 17:08:46.428513050,2022-02-25 04:41:50.000000000,2022-02-25 09:22:27.000000000,2022-02-25 18:48:33.000000000
2022-02-28 17:15:30.101586103,2022-02-25 04:41:50.000000000,2022-02-25 09:22:27.000000000,2022-02-25 18:35:15.000000000
2022-03-01 01:07:46.501771926,2022-02-25 04:35:47.000000000,2022-02-25 09:12:47.000000000,2022-02-25 17:54:07.000000000
2022-03-01 01:07:47.117563963,2022-02-25 04:35:47.000000000,2022-02-25 09:12:47.000000000,2022-02-25 17:54:07.000000000
2022-03-01 07:40:01.200437069,2022-02-25 04:35:47.000000000,2022-02-25 09:12:47.000000000,2022-02-25 17:54:07.000000000
2022-03-01 09:10:30.272229910,2022-02-25 04:33:22.000000000,2022-02-25 09:06:44.000000000,2022-02-25 17:29:55.000000000
2022-03-01 09:10:30.953587055,2022-02-25 04:33:22.000000000,2022-02-25 09:06:44.000000000,2022-02-25 17:29:55.000000000
2022-03-01 15:16:26.994841099,2022-02-25 04:34:34.000000000,2022-02-25 09:10:22.000000000,2022-02-25 17:42:01.000000000
2022-03-01 19:33:13.282974005,2022-02-25 04:40:37.000000000,2022-02-25 09:21:15.000000000,2022-02-25 18:13:28.000000000
2022-03-02 06:01:52.317091942,2022-02-25 04:59:58.000000000,2022-02-25 09:59:57.000000000,2022-02-25 19:59:55.000000000
2022-03-02 07:37:04.761253119,2022-02-25 04:58:46.000000000,2022-02-25 09:58:45.000000000,2022-02-25 19:55:05.000000000
2022-03-02 18:06:52.200974941,2022-02-25 04:52:43.000000000,2022-02-25 09:44:14.000000000,2022-02-25 19:33:18.000000000
2022-03-02 18:07:21.168135881,2022-02-25 04:50:18.000000000,2022-02-25 09:40:36.000000000,2022-02-25 19:23:38.000000000
2022-03-03 07:37:21.550622940,2022-02-25 04:47:53.000000000,2022-02-25 09:34:33.000000000,2022-02-25 19:07:54.000000000
2022-03-03 19:37:32.464881897,2022-02-25 04:55:08.000000000,2022-02-25 09:49:04.000000000,2022-02-25 19:44:11.000000000
2022-03-04 07:39:23.780730963,2022-02-25 04:55:08.000000000,2022-02-25 09:49:04.000000000,2022-02-25 19:44:11.000000000
2022-03-04 16:57:05.252131939,2022-02-25 05:07:14.000000000,2022-02-25 10:25:21.000000000,2022-02-25 22:51:41.000000000
