date,q1,q2,q3
2021-12-24 17:18:05.658072948,2022-02-11 04:58:22.000000000,2022-03-08 06:58:14.000000000,2022-03-15 00:23:30.000000000
2021-12-24 19:49:39.615923882,2022-02-25 22:38:22.000000000,2022-03-07 08:35:34.000000000,2022-03-13 21:38:21.000000000
2021-12-24 21:10:34.231116056,2022-02-25 14:45:25.000000000,2022-03-07 01:23:45.000000000,2022-03-13 18:01:50.000000000
2021-12-25 01:53:39.860018969,2022-02-25 10:51:58.000000000,2022-03-06 17:29:35.000000000,2022-03-13 13:11:32.000000000
2021-12-25 03:51:13.509834051,2022-02-24 03:38:18.000000000,2022-03-06 01:08:36.000000000,2022-03-13 06:27:31.000000000
2021-12-25 05:08:13.187398911,2022-02-25 01:54:54.000000000,2022-03-06 04:26:58.000000000,2022-03-13 00:02:52.000000000
2021-12-25 17:01:05.645040989,2022-02-24 15:40:26.000000000,2022-03-05 11:59:56.000000000,2022-03-12 17:35:48.000000000
2021-12-25 22:59:24.661673069,2022-02-24 19:41:08.000000000,2022-03-05 16:12:44.000000000,2022-03-12 21:53:27.000000000
2021-12-26 01:08:37.020641088,2022-02-28 22:51:10.000000000,2022-03-10 05:55:23.000000000,2022-03-15 23:47:50.000000000
2021-12-26 06:51:15.539438009,2022-02-27 16:06:31.000000000,2022-03-09 03:11:27.000000000,2022-03-15 19:38:40.000000000
2021-12-26 14:36:55.927017927,2022-02-28 08:46:52.000000000,2022-03-10 09:47:38.000000000,2022-03-15 22:46:09.000000000
2021-12-26 23:53:42.739793062,2022-02-28 08:12:59.000000000,2022-03-10 09:29:29.000000000,2022-03-15 22:42:31.000000000
2021-12-27 01:06:20.065661907,2022-02-16 14:53:01.000000000,2022-03-12 18:35:04.000000000,2022-03-16 01:17:21.000000000
2021-12-27 08:03:59.666454077,2022-02-11 13:04:37.000000000,2022-03-09 03:27:11.000000000,2022-03-15 12:54:39.000000000
2021-12-27 09:10:27.542339087,2022-02-09 19:32:51.000000000,2022-03-09 02:29:07.000000000,2022-03-15 07:54:40.000000000
2021-12-27 13:25:13.207341909,2022-02-11 03:20:23.000000000,2022-03-08 07:18:47.000000000,2022-03-15 05:15:00.000000000
2021-12-27 13:57:43.360033035,2022-02-08 22:51:48.000000000,2022-03-07 17:18:07.000000000,2022-03-15 03:33:24.000000000
2021-12-27 17:02:55.106501102,2022-02-12 23:18:31.000000000,2022-02-26 19:03:42.000000000,2022-03-11 06:19:00.000000000
2021-12-27 21:23:23.639990091,2022-02-13 00:50:27.000000000,2022-02-26 19:46:02.000000000,2022-03-11 05:33:02.000000000
2021-12-27 22:50:33.906832933,2022-02-13 03:16:49.000000000,2022-02-26 22:11:11.000000000,2022-03-11 08:56:15.000000000
2021-12-28 01:04:21.674382925,2022-02-18 04:28:56.000000000,2022-03-01 14:33:26.000000000,2022-03-12 07:23:45.000000000
2021-12-28 05:08:08.451178074,2022-02-18 11:56:29.000000000,2022-03-01 22:08:15.000000000,2022-03-12 11:28:05.000000000
2021-12-28 12:38:20.057729959,2022-02-18 12:04:57.000000000,2022-03-01 22:15:30.000000000,2022-03-12 11:31:43.000000000
2021-12-28 13:50:12.969926119,2022-02-18 12:04:57.000000000,2022-03-01 22:15:30.000000000,2022-03-12 11:31:43.000000000
2021-12-28 18:38:11.115428925,2022-02-20 06:40:50.000000000,2022-03-03 07:56:45.000000000,2022-03-13 09:47:07.000000000
2021-12-29 01:04:33.242300034,2022-02-23 22:48:00.000000000,2022-03-06 18:19:10.000000000,2022-03-14 16:53:31.000000000
2021-12-29 01:40:20.720220089,2022-02-24 02:46:17.000000000,2022-03-07 07:18:09.000000000,2022-03-14 23:06:05.000000000
2021-12-29 08:05:26.930694103,2022-02-24 02:48:42.000000000,2022-03-07 07:14:32.000000000,2022-03-14 23:07:17.000000000
