date,q1,q2,q3
2022-01-14 17:10:42.147809029,2022-03-24 10:24:19.000000000,2022-03-31 07:36:59.000000000,2022-04-04 16:07:33.000000000
2022-01-14 17:12:47.834748030,2022-03-22 18:25:41.000000000,2022-04-01 17:06:08.000000000,2022-04-06 12:23:50.000000000
2022-01-14 17:13:17.736346006,2022-03-23 16:38:40.000000000,2022-04-02 14:54:55.000000000,2022-04-06 18:00:06.000000000
2022-01-14 19:00:05.590226889,2022-03-21 04:36:28.000000000,2022-03-30 05:00:19.000000000,2022-04-05 03:40:39.000000000
2022-01-14 19:43:23.252348900,2022-03-21 23:44:23.000000000,2022-03-30 21:56:23.000000000,2022-04-05 10:11:21.000000000
2022-01-14 20:50:24.120129108,2022-03-24 11:22:23.000000000,2022-04-02 09:41:38.000000000,2022-04-06 09:41:45.000000000
2022-01-14 22:49:12.149177074,2022-03-22 18:12:23.000000000,2022-04-01 14:07:07.000000000,2022-04-06 04:44:11.000000000
2022-01-15 01:25:07.364948034,2022-03-23 18:48:05.000000000,2022-04-02 14:13:48.000000000,2022-04-06 15:15:36.000000000
2022-01-15 04:47:39.915425062,2022-03-23 20:59:56.000000000,2022-04-02 15:11:51.000000000,2022-04-06 15:18:01.000000000
2022-01-15 07:06:01.393116951,2022-03-23 20:40:35.000000000,2022-04-02 09:42:51.000000000,2022-04-06 15:02:18.000000000
2022-01-15 07:38:38.636595011,2022-03-23 20:44:13.000000000,2022-04-02 09:24:42.000000000,2022-04-06 14:55:02.000000000
2022-01-15 17:03:55.523093939,2022-04-02 22:32:09.000000000,2022-04-06 05:08:23.000000000,2022-04-07 09:35:08.000000000
2022-01-16 01:06:12.266541958,2022-04-04 04:21:09.000000000,2022-04-06 15:42:13.000000000,2022-04-07 12:11:10.000000000
2022-01-16 07:43:06.624058008,2022-04-04 04:06:38.000000000,2022-04-06 15:38:35.000000000,2022-04-07 12:09:57.000000000
2022-01-16 09:03:11.162544012,2022-04-04 13:44:49.000000000,2022-04-06 19:30:50.000000000,2022-04-07 13:16:29.000000000
2022-01-16 09:20:10.882590055,2022-04-03 20:37:52.000000000,2022-04-06 15:05:55.000000000,2022-04-07 11:50:36.000000000
2022-01-17 07:39:37.072005987,2022-04-03 20:37:52.000000000,2022-04-06 15:05:55.000000000,2022-04-07 11:50:36.000000000
2022-01-17 12:24:45.689023972,2022-04-03 20:20:56.000000000,2022-04-06 15:01:05.000000000,2022-04-07 11:49:24.000000000
2022-01-17 16:15:29.879827976,2022-04-03 12:14:41.000000000,2022-04-06 13:32:47.000000000,2022-04-07 11:30:02.000000000
2022-01-17 16:15:46.579072952,2022-04-03 12:14:41.000000000,2022-04-06 13:32:47.000000000,2022-04-07 11:30:02.000000000
2022-01-17 17:04:50.793319941,2022-04-04 03:27:56.000000000,2022-04-06 12:34:43.000000000,2022-04-07 10:56:10.000000000
2022-01-17 22:24:35.107947111,2022-04-04 03:15:50.000000000,2022-04-06 12:21:25.000000000,2022-04-07 10:51:20.000000000
2022-01-18 01:10:22.476629972,2022-04-01 19:36:08.000000000,2022-04-06 03:32:49.000000000,2022-04-07 10:02:57.000000000
2022-01-18 07:43:11.620807886,2022-04-01 19:31:17.000000000,2022-04-06 03:32:49.000000000,2022-04-07 10:02:57.000000000
2022-01-18 17:32:26.328000069,2022-04-01 08:05:27.000000000,2022-04-05 23:47:50.000000000,2022-04-07 09:12:09.000000000
2022-01-18 22:29:47.284725904,2022-04-01 06:03:16.000000000,2022-04-05 21:50:30.000000000,2022-04-07 08:37:04.000000000
2022-01-18 22:32:45.515558957,2022-04-01 08:17:32.000000000,2022-04-05 21:48:05.000000000,2022-04-07 08:37:04.000000000
2022-01-19 07:40:30.423480988,2022-04-01 07:34:00.000000000,2022-04-05 21:34:47.000000000,2022-04-07 08:33:26.000000000
2022-01-19 22:31:35.397592068,2022-04-01 09:19:14.000000000,2022-04-05 21:37:12.000000000,2022-04-07 08:29:49.000000000
2022-01-20 07:41:53.170301914,2022-04-01 08:04:14.000000000,2022-04-05 21:17:51.000000000,2022-04-07 08:23:46.000000000
2022-01-20 08:25:04.839994907,2022-03-31 20:03:19.000000000,2022-04-05 02:59:32.000000000,2022-04-07 02:37:49.000000000
2022-01-20 16:20:08.674173117,2022-03-31 15:22:41.000000000,2022-04-05 00:23:30.000000000,2022-04-07 01:40:58.000000000
2022-01-20 18:10:47.686398029,2022-03-31 08:08:26.000000000,2022-04-04 21:51:05.000000000,2022-04-07 01:21:37.000000000
2022-01-20 23:27:23.980966091,2022-03-31 09:39:10.000000000,2022-04-04 22:34:38.000000000,2022-04-07 01:30:05.000000000
2022-01-21 00:59:12.742151022,2022-04-03 01:57:47.000000000,2022-04-05 19:56:48.000000000,2022-04-07 05:16:16.000000000
2022-01-21 05:37:44.478568077,2022-04-03 01:51:44.000000000,2022-04-05 19:50:45.000000000,2022-04-07 05:13:51.000000000
2022-01-21 07:41:03.148430109,2022-04-03 02:14:43.000000000,2022-04-05 19:59:13.000000000,2022-04-07 05:16:16.000000000
2022-01-21 09:02:31.653318882,2022-04-03 16:00:52.000000000,2022-04-06 01:25:49.000000000,2022-04-07 06:05:52.000000000
2022-01-21 16:04:30.642534018,2022-04-03 13:32:06.000000000,2022-04-06 00:50:44.000000000,2022-04-07 05:59:49.000000000
2022-01-21 16:04:47.712275028,2022-04-03 12:59:26.000000000,2022-04-06 00:32:36.000000000,2022-04-07 05:50:09.000000000
2022-01-21 17:04:01.705115080,2022-04-03 21:27:28.000000000,2022-04-06 03:58:14.000000000,2022-04-07 06:44:34.000000000
2022-01-22 07:41:14.812015057,2022-04-03 21:27:28.000000000,2022-04-06 03:58:14.000000000,2022-04-07 06:44:34.000000000
2022-01-22 23:23:15.347698927,2022-04-03 21:50:27.000000000,2022-04-06 04:01:51.000000000,2022-04-07 06:44:34.000000000
2022-01-23 01:05:21.169262886,2022-04-04 12:33:27.000000000,2022-04-06 09:04:15.000000000,2022-04-07 08:15:18.000000000
2022-01-23 07:44:14.452014923,2022-04-04 12:39:30.000000000,2022-04-06 09:06:40.000000000,2022-04-07 08:16:30.000000000
2022-01-23 08:56:24.506433009,2022-04-04 16:45:03.000000000,2022-04-06 10:37:24.000000000,2022-04-07 08:47:57.000000000
2022-01-23 17:00:17.508519888,2022-04-02 20:05:47.000000000,2022-04-05 22:02:36.000000000,2022-04-07 07:40:13.000000000
2022-01-23 17:52:56.235387087,2022-04-02 18:30:14.000000000,2022-04-05 21:14:13.000000000,2022-04-07 07:24:29.000000000
2022-01-23 18:40:20.130845070,2022-04-02 16:42:35.000000000,2022-04-05 23:30:54.000000000,2022-04-07 08:04:24.000000000
2022-01-23 21:21:32.595221996,2022-04-02 15:21:32.000000000,2022-04-05 22:29:13.000000000,2022-04-07 07:42:38.000000000
