date,q1,q2,q3
2021-12-03 17:01:17.130409956,2021-12-20 00:27:42.000000000,2022-01-01 15:40:05.000000000,2022-01-17 06:44:41.000000000
2021-12-03 18:22:48.079582930,2022-01-09 02:44:57.000000000,2022-01-17 15:53:51.000000000,2022-01-28 07:07:23.000000000
2021-12-03 22:04:35.716046095,2022-01-10 04:56:14.000000000,2022-01-19 03:33:38.000000000,2022-01-30 12:02:35.000000000
2021-12-04 02:11:33.373883963,2022-01-07 07:31:35.000000000,2022-01-23 10:15:20.000000000,2022-02-21 18:31:30.000000000
2021-12-04 07:40:22.551016092,2022-01-07 15:43:53.000000000,2022-01-22 21:03:03.000000000,2022-02-19 22:06:45.000000000
2021-12-04 09:13:40.232637882,2022-01-08 12:35:49.000000000,2022-01-23 16:08:32.000000000,2022-02-17 06:41:21.000000000
2021-12-04 11:50:36.267606020,2022-01-08 10:30:01.000000000,2022-01-23 02:34:28.000000000,2022-02-16 02:18:14.000000000
2021-12-04 16:54:15.098475933,2022-01-08 02:35:51.000000000,2022-01-19 00:40:39.000000000,2022-02-04 00:52:00.000000000
2021-12-04 19:23:12.138186932,2022-01-08 01:46:16.000000000,2022-01-19 02:18:38.000000000,2022-02-04 06:05:17.000000000
2021-12-04 23:05:36.150732994,2022-01-08 01:39:00.000000000,2022-01-18 22:56:38.000000000,2022-02-03 23:43:03.000000000
2021-12-05 01:27:29.044784069,2022-01-09 19:59:10.000000000,2022-01-22 05:31:39.000000000,2022-02-13 17:44:06.000000000
2021-12-05 09:31:32.925929070,2022-01-09 07:07:26.000000000,2022-01-21 05:46:45.000000000,2022-02-09 03:30:00.000000000
2021-12-05 15:09:58.453155994,2022-01-09 08:03:05.000000000,2022-01-20 23:37:49.000000000,2022-02-08 17:59:04.000000000
2021-12-05 17:55:04.968638897,2022-01-09 12:26:47.000000000,2022-01-20 23:45:04.000000000,2022-02-08 00:35:11.000000000
2021-12-06 17:24:53.834085941,2022-01-09 11:17:50.000000000,2022-01-20 23:11:12.000000000,2022-02-07 21:05:55.000000000
2021-12-06 20:28:18.416600943,2022-01-09 07:36:28.000000000,2022-01-20 19:14:07.000000000,2022-02-07 14:52:09.000000000
