date,q1,q2,q3
2021-11-12 17:48:02.185631037,2021-11-18 19:38:57.000000000,2021-11-22 18:57:56.000000000,2021-11-27 06:16:38.000000000
2021-11-12 17:50:36.322379112,2021-11-24 17:51:28.000000000,2021-12-02 09:23:40.000000000,2021-12-12 15:37:43.000000000
2021-11-12 18:51:00.685791016,2021-11-21 10:03:52.000000000,2021-11-30 05:38:37.000000000,2021-12-11 13:31:17.000000000
2021-11-12 18:54:17.218137980,2021-11-20 06:14:37.000000000,2021-11-29 06:00:58.000000000,2021-12-10 07:53:11.000000000
2021-11-12 18:56:24.923438072,2021-11-19 11:55:06.000000000,2021-11-28 17:55:13.000000000,2021-12-09 22:47:39.000000000
2021-11-12 19:20:59.168772936,2021-11-16 17:39:08.000000000,2021-11-30 23:21:52.000000000,2021-12-18 05:22:12.000000000
2021-11-12 20:27:04.125572920,2021-11-17 09:02:04.000000000,2021-12-01 14:20:36.000000000,2021-12-19 15:09:30.000000000
2021-11-12 20:27:32.239226103,2021-11-17 10:52:08.000000000,2021-12-01 15:27:07.000000000,2021-12-19 08:36:23.000000000
2021-11-12 21:11:05.780013084,2021-11-12 15:34:26.000000000,2021-11-18 16:29:02.000000000,2021-12-17 19:46:26.000000000
2021-11-12 21:11:57.001805067,2021-11-12 18:52:49.000000000,2021-11-21 07:44:46.000000000,2021-12-23 05:32:38.000000000
2021-11-12 21:17:35.764045954,2021-11-12 17:51:07.000000000,2021-11-20 09:07:36.000000000,2021-12-22 21:11:51.000000000
2021-11-13 00:18:23.699641943,2021-11-12 17:58:23.000000000,2021-11-20 11:08:33.000000000,2021-12-22 20:21:03.000000000
2021-11-13 01:02:12.652651072,2021-11-13 01:36:49.000000000,2021-11-26 12:17:40.000000000,2022-01-06 03:09:06.000000000
2021-11-13 01:09:41.051326990,2021-11-13 01:42:52.000000000,2021-11-26 10:38:29.000000000,2022-01-06 00:57:15.000000000
2021-11-13 05:56:34.484580040,2021-11-13 07:21:33.000000000,2021-11-29 15:47:38.000000000,2022-01-05 15:04:33.000000000
2021-11-13 08:03:26.084521055,2021-11-13 07:27:36.000000000,2021-11-29 17:25:36.000000000,2022-01-05 15:19:03.000000000
2021-11-13 09:02:52.227817059,2021-11-14 15:07:53.000000000,2021-11-28 08:40:00.000000000,2021-12-29 10:47:18.000000000
2021-11-13 12:07:08.981425047,2021-11-18 06:42:23.000000000,2021-11-28 03:41:14.000000000,2021-12-25 17:51:45.000000000
2021-11-13 13:48:10.725171089,2021-11-18 06:01:16.000000000,2021-11-28 03:19:28.000000000,2021-12-25 18:05:04.000000000
2021-11-13 17:04:48.945482016,2021-11-16 17:39:08.000000000,2021-11-27 18:41:45.000000000,2021-12-28 11:20:32.000000000
2021-11-13 19:08:40.755034924,2021-11-16 20:59:56.000000000,2021-11-28 12:34:40.000000000,2021-12-30 22:57:19.000000000
2021-11-14 01:04:09.566279888,2021-11-18 03:36:06.000000000,2021-12-01 13:29:47.000000000,2022-01-05 04:07:44.000000000
2021-11-14 08:08:55.616250038,2021-11-18 03:36:06.000000000,2021-12-01 13:29:47.000000000,2022-01-05 04:07:44.000000000
2021-11-14 08:57:59.353395939,2021-11-18 09:19:38.000000000,2021-12-03 06:03:30.000000000,2022-01-09 08:43:38.000000000
2021-11-14 23:12:25.062829018,2021-11-18 13:45:45.000000000,2021-12-03 15:15:05.000000000,2022-01-08 15:57:15.000000000
2021-11-14 23:32:47.953463078,2021-11-18 09:31:44.000000000,2021-12-03 17:52:20.000000000,2022-01-10 23:29:42.000000000
2021-11-15 01:04:32.620152950,2021-11-19 02:37:28.000000000,2021-12-03 18:15:19.000000000,2022-01-09 08:32:45.000000000
2021-11-15 08:04:37.410875082,2021-11-19 02:37:28.000000000,2021-12-03 18:15:19.000000000,2022-01-09 08:32:45.000000000
2021-11-15 09:07:01.490340948,2021-11-18 22:04:06.000000000,2021-12-03 13:29:51.000000000,2022-01-12 04:01:17.000000000
2021-11-15 20:27:10.342876911,2021-11-18 23:54:10.000000000,2021-12-03 17:26:56.000000000,2022-01-11 19:30:50.000000000
2021-11-16 16:19:21.932100058,2021-11-20 15:22:34.000000000,2021-12-07 00:08:00.000000000,2022-01-28 14:51:18.000000000
2021-11-16 20:04:48.729367971,2021-11-20 20:27:23.000000000,2021-12-06 09:23:47.000000000,2022-01-24 04:34:17.000000000
2021-11-16 20:06:20.903599977,2021-11-21 13:37:58.000000000,2021-12-08 22:08:18.000000000,2022-01-28 14:31:56.000000000
2021-11-17 16:18:51.509227991,2021-11-17 05:50:57.000000000,2021-12-05 07:05:15.000000000,2022-01-25 19:09:27.000000000
2021-11-17 16:20:29.514154911,2021-11-17 07:36:11.000000000,2021-12-05 20:29:38.000000000,2022-01-25 20:06:19.000000000
2021-11-18 01:13:22.439146042,2021-11-16 20:10:20.000000000,2021-12-14 05:06:22.000000000,2022-01-20 11:49:37.000000000
2021-11-18 19:36:57.351249933,2021-11-16 14:05:02.000000000,2021-12-11 23:46:58.000000000,2022-01-17 13:29:20.000000000
2021-11-19 21:37:49.473361015,2021-11-16 14:17:08.000000000,2021-12-11 23:38:30.000000000,2022-01-17 15:25:27.000000000
2021-11-20 00:49:53.867543936,2021-11-16 09:55:52.000000000,2021-12-06 18:24:28.000000000,2022-01-10 18:28:30.000000000
2021-11-20 02:25:34.847774029,2021-11-17 00:06:13.000000000,2021-12-05 20:41:44.000000000,2022-01-10 05:15:00.000000000
2021-11-22 01:39:45.082503080,2021-11-17 00:32:49.000000000,2021-12-06 10:21:50.000000000,2022-01-11 17:45:36.000000000
2021-11-22 01:41:10.910264969,2021-11-17 01:12:44.000000000,2021-12-06 09:31:02.000000000,2022-01-10 06:08:14.000000000
2021-11-22 01:42:37.083657980,2021-11-17 00:46:08.000000000,2021-12-05 11:35:00.000000000,2022-01-09 14:18:42.000000000
2021-11-22 19:21:05.876796961,2021-11-17 01:22:25.000000000,2021-12-10 09:50:30.000000000,2022-01-04 23:21:03.000000000
2021-11-23 00:51:03.346272945,2021-11-17 06:52:38.000000000,2021-12-13 16:08:36.000000000,2022-01-03 23:33:44.000000000
2021-11-23 06:29:38.321561098,2021-11-17 13:56:00.000000000,2021-12-14 19:14:18.000000000,2022-01-06 05:34:15.000000000
2021-11-23 06:32:38.092864037,2021-11-17 02:24:06.000000000,2021-12-13 06:24:21.000000000,2022-01-05 20:14:12.000000000
2021-11-24 01:59:12.254731894,2021-11-17 03:49:59.000000000,2021-12-14 21:08:00.000000000,2022-01-06 04:45:52.000000000
2021-11-24 08:50:53.481633902,2021-11-17 01:56:17.000000000,2021-12-14 03:45:19.000000000,2022-01-07 17:03:08.000000000
2021-11-24 15:41:15.511816025,2021-11-17 06:15:08.000000000,2021-12-19 22:01:58.000000000,2022-01-18 06:47:10.000000000
2021-11-24 15:41:25.536063910,2021-11-17 05:24:20.000000000,2021-12-19 10:40:58.000000000,2022-01-17 12:33:41.000000000
2021-11-24 16:52:53.956165075,2021-11-17 06:38:07.000000000,2021-12-22 16:21:33.000000000,2022-01-26 21:52:11.000000000
2021-11-25 20:12:21.491358042,2021-11-17 06:27:14.000000000,2021-12-22 14:44:47.000000000,2022-01-26 12:46:39.000000000
2021-11-28 15:26:15.998991013,2021-11-17 06:26:02.000000000,2021-12-22 17:20:49.000000000,2022-01-25 23:25:54.000000000
2021-11-29 18:25:15.544235945,2021-11-20 21:16:59.000000000,2022-01-02 13:33:08.000000000,2022-01-31 15:54:53.000000000
2021-11-29 19:02:31.726844072,2021-11-23 04:31:17.000000000,2021-12-29 20:49:41.000000000,2022-01-29 23:28:26.000000000
2021-11-29 19:30:06.002012968,2021-11-23 17:02:27.000000000,2021-12-29 16:45:21.000000000,2022-01-29 22:19:29.000000000
2021-11-30 00:01:19.827847958,2021-11-18 04:39:00.000000000,2021-12-25 04:10:26.000000000,2022-01-24 07:57:30.000000000
2021-11-30 09:24:03.951159000,2021-11-19 07:30:12.000000000,2021-12-21 15:19:14.000000000,2022-01-09 22:06:48.000000000
2021-11-30 17:03:13.035875082,2021-11-20 19:08:46.000000000,2021-12-21 20:28:53.000000000,2022-01-09 20:32:28.000000000
2021-11-30 17:48:19.079219103,2021-11-22 20:28:39.000000000,2021-12-21 15:16:49.000000000,2022-01-09 08:40:00.000000000
2021-11-30 18:48:59.902442932,2021-11-24 19:01:37.000000000,2021-12-22 11:20:22.000000000,2022-01-12 12:29:19.000000000
2021-12-01 00:59:54.577116966,2021-11-26 17:21:17.000000000,2021-12-24 04:11:01.000000000,2022-01-27 00:08:52.000000000
2021-12-01 23:45:27.175868034,2021-11-24 06:20:47.000000000,2021-12-25 02:37:18.000000000,2022-01-29 02:23:11.000000000
2021-12-01 23:45:43.392522097,2021-11-23 10:59:34.000000000,2021-12-25 01:56:10.000000000,2022-01-29 07:34:03.000000000
2021-12-01 23:47:40.279397011,2021-11-21 10:15:58.000000000,2021-12-24 21:03:27.000000000,2022-01-29 05:08:54.000000000
2021-12-01 23:49:15.279531002,2021-11-24 03:52:00.000000000,2021-12-25 04:01:58.000000000,2022-01-29 08:36:57.000000000
