date,q1,q2,q3
2021-12-24 17:15:05.509284019,2022-01-24 06:46:42.000000000,2022-02-04 04:50:18.000000000,2022-02-17 10:39:38.000000000
2021-12-24 21:21:49.779592037,2022-01-07 18:11:27.000000000,2022-01-14 23:36:26.000000000,2022-01-23 08:55:30.000000000
2021-12-25 01:53:11.665066957,2022-01-08 00:56:40.000000000,2022-01-15 07:23:20.000000000,2022-01-23 12:36:51.000000000
2021-12-25 08:04:24.652688980,2022-01-05 15:29:19.000000000,2022-01-14 05:25:22.000000000,2022-01-25 01:11:04.000000000
2021-12-25 17:00:53.854077101,2022-01-06 04:59:45.000000000,2022-01-14 21:52:24.000000000,2022-01-23 20:11:40.000000000
2021-12-25 21:23:24.954504013,2022-01-06 12:17:37.000000000,2022-01-15 13:46:47.000000000,2022-01-24 09:40:53.000000000
2021-12-26 00:20:38.966222048,2022-01-05 13:19:53.000000000,2022-01-14 18:27:59.000000000,2022-01-23 20:17:43.000000000
2021-12-26 06:47:13.420690060,2022-01-06 02:15:14.000000000,2022-01-15 05:35:41.000000000,2022-01-24 04:50:35.000000000
2021-12-26 09:00:04.736402988,2022-01-05 04:59:07.000000000,2022-01-14 00:14:30.000000000,2022-01-23 23:07:03.000000000
2021-12-26 17:00:28.942068100,2022-01-04 13:33:46.000000000,2022-01-13 10:02:57.000000000,2022-01-23 08:24:03.000000000
2021-12-26 17:17:48.913624048,2022-01-04 14:06:25.000000000,2022-01-13 10:15:03.000000000,2022-01-23 07:47:46.000000000
2021-12-26 23:56:40.895739079,2022-01-04 14:11:16.000000000,2022-01-13 10:29:34.000000000,2022-01-23 08:08:19.000000000
2021-12-27 08:06:46.082555056,2022-01-05 07:23:03.000000000,2022-01-14 23:57:00.000000000,2022-01-25 16:31:35.000000000
2021-12-27 13:24:38.418291092,2022-01-05 13:07:47.000000000,2022-01-14 23:06:12.000000000,2022-01-25 05:56:32.000000000
2021-12-27 18:14:03.782293081,2022-01-08 09:46:28.000000000,2022-01-16 06:44:03.000000000,2022-01-25 09:07:39.000000000
2021-12-27 22:55:39.178745031,2022-01-08 10:25:11.000000000,2022-01-16 07:11:53.000000000,2022-01-25 08:37:25.000000000
2021-12-28 05:13:07.066302060,2022-01-09 13:53:52.000000000,2022-01-17 07:24:36.000000000,2022-01-25 09:28:13.000000000
2021-12-28 09:04:33.177253008,2022-01-10 06:59:36.000000000,2022-01-17 21:32:32.000000000,2022-01-25 08:19:16.000000000
2021-12-28 12:37:44.693342924,2022-01-10 06:59:36.000000000,2022-01-17 21:32:32.000000000,2022-01-25 08:19:16.000000000
2021-12-28 18:29:12.201208115,2022-01-09 15:13:42.000000000,2022-01-17 03:10:35.000000000,2022-01-24 12:15:43.000000000
2021-12-28 23:16:58.029645920,2022-01-08 11:55:54.000000000,2022-01-16 01:13:50.000000000,2022-01-24 02:42:22.000000000
2021-12-29 01:04:12.710067034,2022-01-08 03:24:14.000000000,2022-01-15 15:22:20.000000000,2022-01-23 21:44:48.000000000
2021-12-29 06:31:50.062632084,2022-01-08 06:02:42.000000000,2022-01-15 17:37:49.000000000,2022-01-23 23:49:24.000000000
2021-12-29 08:04:16.082882881,2022-01-08 06:58:20.000000000,2022-01-15 18:10:28.000000000,2022-01-23 23:45:46.000000000
2021-12-29 14:33:35.122087955,2022-01-07 15:16:04.000000000,2022-01-15 01:12:00.000000000,2022-01-23 10:49:12.000000000
2021-12-29 17:52:24.834732056,2022-01-06 21:11:03.000000000,2022-01-14 15:15:40.000000000,2022-01-22 22:47:04.000000000
2021-12-29 21:12:59.601973057,2022-01-07 14:13:10.000000000,2022-01-15 03:16:35.000000000,2022-01-23 16:27:53.000000000
2021-12-30 01:07:12.024633884,2022-01-07 20:26:56.000000000,2022-01-15 08:27:27.000000000,2022-01-24 00:25:41.000000000
2021-12-30 05:18:42.607103109,2022-01-06 06:42:33.000000000,2022-01-14 16:04:03.000000000,2022-01-23 07:42:55.000000000
2021-12-30 09:01:31.960582018,2022-01-06 16:01:24.000000000,2022-01-15 03:31:06.000000000,2022-01-23 23:38:30.000000000
2021-12-30 14:39:42.014724970,2022-01-06 23:04:45.000000000,2022-01-15 04:12:13.000000000,2022-01-23 17:24:44.000000000
2021-12-30 17:05:10.399841070,2022-01-07 04:07:09.000000000,2022-01-15 02:23:21.000000000,2022-01-23 02:24:48.000000000
2021-12-30 21:52:25.360321999,2022-01-07 07:07:23.000000000,2022-01-15 03:55:17.000000000,2022-01-23 03:54:19.000000000
2021-12-31 01:12:24.075830936,2022-01-06 19:54:51.000000000,2022-01-14 20:47:05.000000000,2022-01-22 20:30:23.000000000
2021-12-31 08:03:01.034432888,2022-01-06 19:10:05.000000000,2022-01-14 20:21:41.000000000,2022-01-22 19:14:11.000000000
2021-12-31 15:58:15.524269104,2022-01-06 21:13:28.000000000,2022-01-14 19:27:15.000000000,2022-01-22 13:06:28.000000000
2021-12-31 20:26:10.850917101,2022-01-07 02:13:27.000000000,2022-01-14 18:37:40.000000000,2022-01-22 13:40:20.000000000
2022-01-01 01:10:13.568259001,2022-01-06 13:06:00.000000000,2022-01-14 06:17:23.000000000,2022-01-22 10:43:44.000000000
2022-01-01 07:36:26.539477110,2022-01-06 13:36:14.000000000,2022-01-14 07:09:24.000000000,2022-01-22 12:22:55.000000000
2022-01-01 22:54:03.032037972,2022-01-06 13:59:13.000000000,2022-01-14 04:39:25.000000000,2022-01-22 10:21:57.000000000
2022-01-02 01:06:12.503237963,2022-01-06 13:07:13.000000000,2022-01-13 20:34:22.000000000,2022-01-22 10:44:56.000000000
2022-01-02 07:38:24.732741117,2022-01-06 13:14:28.000000000,2022-01-13 20:40:24.000000000,2022-01-22 10:28:00.000000000
2022-01-02 08:58:56.491887093,2022-01-06 12:04:19.000000000,2022-01-13 22:45:00.000000000,2022-01-22 20:12:14.000000000
2022-01-03 01:38:20.291836977,2022-01-06 12:10:22.000000000,2022-01-13 22:18:23.000000000,2022-01-22 18:05:14.000000000
2022-01-03 05:49:05.345464945,2022-01-06 12:13:59.000000000,2022-01-13 22:08:43.000000000,2022-01-22 18:05:14.000000000
2022-01-03 08:56:33.719367027,2022-01-06 17:11:33.000000000,2022-01-14 02:20:18.000000000,2022-01-22 18:00:24.000000000
2022-01-03 13:00:37.885207891,2022-01-06 19:47:35.000000000,2022-01-14 01:56:07.000000000,2022-01-22 10:17:07.000000000
2022-01-03 17:00:20.762058020,2022-01-07 01:19:01.000000000,2022-01-13 07:36:35.000000000,2022-01-20 16:57:26.000000000
2022-01-04 00:13:22.115997076,2022-01-07 06:52:52.000000000,2022-01-13 13:35:50.000000000,2022-01-20 23:36:36.000000000
2022-01-04 05:30:34.389552116,2022-01-08 12:16:28.000000000,2022-01-13 13:55:12.000000000,2022-01-20 11:59:53.000000000
2022-01-04 09:04:14.131253958,2022-01-08 20:07:00.000000000,2022-01-13 14:04:52.000000000,2022-01-20 11:51:25.000000000
