date,q1,q2,q3
2022-02-25 17:36:21.726025105,2022-04-22 08:26:00.000000000,2022-05-14 05:19:09.000000000,2022-05-18 11:06:25.000000000
2022-02-25 18:21:32.303205967,2022-04-27 12:56:30.000000000,2022-05-12 05:40:52.000000000,2022-05-17 20:16:09.000000000
2022-02-25 18:21:43.793839931,2022-04-29 15:37:26.000000000,2022-05-12 17:01:52.000000000,2022-05-17 21:17:51.000000000
2022-02-25 20:35:21.235100031,2022-04-10 02:39:43.000000000,2022-05-04 13:08:11.000000000,2022-05-16 23:39:57.000000000
2022-02-25 21:36:23.287724972,2022-04-12 04:56:28.000000000,2022-05-04 17:21:00.000000000,2022-05-16 17:33:26.000000000
2022-02-25 21:57:58.121995926,2022-04-11 20:12:42.000000000,2022-05-04 22:10:05.000000000,2022-05-16 13:20:38.000000000
2022-02-25 23:33:09.839978933,2022-04-11 23:16:34.000000000,2022-05-04 22:24:36.000000000,2022-05-16 13:02:29.000000000
2022-02-25 23:44:33.207875967,2022-04-19 04:45:10.000000000,2022-05-03 14:23:46.000000000,2022-05-14 19:35:33.000000000
2022-02-26 00:42:04.264807940,2022-04-21 02:03:08.000000000,2022-05-05 19:05:39.000000000,2022-05-16 12:56:26.000000000
2022-02-26 07:37:18.697036982,2022-04-21 04:00:28.000000000,2022-05-05 19:56:28.000000000,2022-05-16 12:50:24.000000000
2022-02-26 21:19:27.034878016,2022-04-14 16:21:09.000000000,2022-05-01 03:12:23.000000000,2022-05-13 13:57:26.000000000
2022-02-26 23:35:28.895374060,2022-04-13 10:12:48.000000000,2022-04-30 11:51:52.000000000,2022-05-13 07:00:08.000000000
2022-02-27 00:23:43.154861927,2022-04-13 22:35:30.000000000,2022-05-01 01:06:35.000000000,2022-05-13 14:25:16.000000000
2022-02-27 01:39:24.386909008,2022-04-21 05:44:30.000000000,2022-05-03 12:21:36.000000000,2022-05-17 07:03:52.000000000
2022-02-27 07:33:38.849493980,2022-04-21 05:44:30.000000000,2022-05-03 12:21:36.000000000,2022-05-17 07:03:52.000000000
2022-02-27 09:09:23.244621992,2022-04-09 09:03:44.000000000,2022-05-02 18:31:06.000000000,2022-05-18 20:43:24.000000000
